cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
423,rydon,Perdia,perden,perd0e-me,Perdoe-le,Perdaio,kicurdo,perdon,excitacao anterior.- Perdo,,,,,,,,,,,,,,,,,,,
424,lio da consersa anterior,renerlorio da infncin,Chico da Lonsi,rio da Villa,rio dn Vill,,,,,,,,,,,,,,,,,,,,,,,
425,Servida,pequeno servieo,observac6es,Servi,servieo d,,,,,,,,,,,,,,,,,,,,,,,
426,rochedo,Iechou,Chegon,chele,eche,,,,,,,,,,,,,,,,,,,,,,,
427,Pdra,Frana,luraei,Franea,"Ohl
ra um horrao",razo,oura,Yra,f6ra,lunravan,Engraeada,praocuraya,"ris-
tocratie",Iragrantes,ramp,fra,alvura,ra,Razao,Praeurarci,Reggar's Upera de Gray,,,,,,,
428,Ilein,leilor,espreilei,afleieao,Respeile,leiuo,leile,leise,,,,,,,,,,,,,,,,,,,,
429,s6 d'elles,casa d'elle,nenhmm d'elles,nio l'elle,submersaio d'elles,encurreg-me d'ella,l'elle,d'elle,,,,,,,,,,,,,,,,,,,,
430,Pord6a-me,meditagoes,Cista-me,Acredite-me,Acredita-me,Acrelita,,,,,,,,,,,,,,,,,,,,,,
431,i loja do ourives,jardim de S. Lazaro,portao do jardim,im do mundo,0 jadim,pa  do irmio,Serra do Piir,rua do jardim,,,,,,,,,,,,,,,,,,,,
432,Qiontino,la kontine,Continuam,Continuoi,Quontino,Quontine,Quontin,Continia,,,,,,,,,,,,,,,,,,,,
433,cataelis,Elisiaheth,Mahel,Iahelis,,,,,,,,,,,,,,,,,,,,,,,,
434,antecedencias,ul vidlencia,conseqencia,inlelligencia,Prwvidencia,corresnondencia,mutua desconlianca,Incoherencia.as,emt om conlidencial,conlidencia,tl maneira os olhos i evidencia,aConliaste,conliava,,,,,,,,,,,,,,,
435,"elleclivol
Zm Jcnny",icnny,cnntigs,Ivcnny,"Jcnny,-",Jcnny,ny,,,,,,,,,,,,,,,,,,,,,
436,po n'este repaesta,n'este cso,"sisude in
n'ests","N'ests
crt",N'este lialogo inler poeula,N'este momiento,n'este cnso,"iazia
semre n'estas occasiies critiets",n'est,N'este sitio,,,,,,,,,,,,,,,,,,
437,Ns Europa,Euroa,Iuturo,Europa,,,,,,,,,,,,,,,,,,,,,,,,
438,ifronie,Coni,Conduzanol-ts,escondid,conidira,pescoo,condiges,coniescondi,"d desconhe
cid do haile",,,,,,,,,,,,,,,,,,,
439,alrouxar,"se-
gurou","jnr...
Parou",Paron,Paroce,parochia,Paroece,Parou,,,,,,,,,,,,,,,,,,,,
440,cncella do porlal,nellas,Auellas,janell,buixo da jnella,g,horas7 Ella,nella-quem,nella,i janella,aguella manha,,,,,,,,,,,,,,,,,
441,Vejaml,Ljja,Sejaem,gye,Yeja,Vejam,Ja,"eja
lr",eye,Yejam,,,,,,,,,,,,,,,,,,
442,ci cm,pssci,City,cduscienecin,fluciaar,cixt,L'cii,Ci cn mh diloo,ci,Cinza,"cii
nho",lcid,Ci,mcio,cii,ain circi,,,,,,,,,,,,
443,Crineia,pronnei jdieil,Gne,iun ausenei,enei,"nei
V0z",Inaneira,neie do popsi,neI,,,,,,,,,,,,,,,,,,,
444,Cecilia,Queira sentar-se-disse Cecilia,Cvecilia,Cecilio,Cecili,Cecilias,ecilia,Ccecilin,Cecilin,proscguiuCecilia,Cecilii,NEo2-interrogou Cecilia,Ioss Cecilia,"di
Cecilia",Gecilia,cecilia,Cecilit,,,,,,,,,,,
445,hoem,Recolho-e,Olhom,olhr de Mlaoel,Olhoe,,,,,,,,,,,,,,,,,,,,,,,
446,reniio  v,nio renove essn insinuaiio,eiioiia,Iional,irntiio,irmiio,iiaiio,irmniio,Viior,i.iioca,ioii,i  ceiiio ue nao pori rne duvsid,Iio,Iiomemn,relatiio,,,,,,,,,,,,,
447,Valbom,Amal-a-hia,IALZA,Ialsas,Iereial,Hials,Ials,dialoo,Ial,Ialul,,,,,,,,,,,,,,,,,,
448,Braga,Bra-,brochura,tens bras,Bravol,Bravo,Coimbra,Bra,,,,,,,,,,,,,,,,,,,,
449,Versam,Envergonho-me,convelhos,conversaa,,,,,,,,,,,,,,,,,,,,,,,,
450,Bixou,baixol,orphai,Freixo,haixo,,,,,,,,,,,,,,,,,,,,,,,
451,p6de,P6,P6de,,,,,,,,,,,,,,,,,,,,,,,,,
452,yeio,Creio,Ei,peior,Leio-o,eio,seiot,,,,,,,,,,,,,,,,,,,,,
453,lica d'esta bureaucracia,oi m'este,"qte
pensss d'esta medida",teclts co preste,integra d'este,d'est,es d'este,razo d'esta ordem,mihares ds,,,,,,,,,,,,,,,,,,,
454,Entio di ca,violentia,surd0s gentids,io tens centinca,Entio,,,,,,,,,,,,,,,,,,,,,,,
455,Amicus,tSua amigt,umIa,domig,Mioel,umi cni,MIr,Miuha,Mih,MI,Mi,,,,,,,,,,,,,,,,,
456,D0Y.,criadu,criad0s,cread0s,,,,,,,,,,,,,,,,,,,,,,,,
457,Taco iolos,Sonuiol E,S. Joaiol,olal,Iolgo,Iolass,Iola,,,,,,,,,,,,,,,,,,,,,
458,Manoel-continuou,IIanoel,Doshumano,noev,Mlanoel,Procurar hlanoel,Felice Romani,Mnoel,Manoel-continuou Jenny.-Eu,Manoel Quon-,Mtanoel,Munoel,Mnnoel,Mauoel,Manoel,Manoel Galveias,,,,,,,,,,,,
459,fogao,mogas,iognac,coumogao,Iogar,Iogao,,,,,,,,,,,,,,,,,,,,,,
460,Mavia semre io msee,Seia,passeiar,seia,,,,,,,,,,,,,,,,,,,,,,,,
461,g-,io naie,naio,naio ves,aio,Naio,,,,,,,,,,,,,,,,,,,,,,
462,GGansao,iransigao,transperts brulans,transnccles,transigao,,,,,,,,,,,,,,,,,,,,,,,
463,Veom-se,om,Jeon,eom,,,,,,,,,,,,,,,,,,,,,,,,
464,p0de,nerdes,designmn,Desejava,"dcscripes de
desastraes",Descansa,"deois de
modesta hesilaio",Descim,descbrir,lDe,desorden,despenseir8,N5o me desarranie,descohrir,sngrades,Pdes,Entndesl,haviai recrudescilo,hes desensia s ee,descvolerta,Des,desigal,ede,,,,,
465,emprehendel-os,tont reprehensiyo,apprehensoes l,comprehendia,eomprehenden,,,,,,,,,,,,,,,,,,,,,,,
466,Interrogue-a,Avintes,interpellaco,intengo6es,interrompia,inter0si,Interetarim,Dinte,,,,,,,,,,,,,,,,,,,,
467,Ir,3E,Respiroul,Iroixa,onnheiro,Dairro,Irol,primciro,ro-,Iro,Iromelto,,,,,,,,,,,,,,,,,
468,olle,Capulletos,-aorqlle,collegio,ulles,LL0,colletle,clle,LL',Fulle,lle,,,,,,,,,,,,,,,,,
469,Aniona,"0I
nio","ConIse
inio",Nio dig ue,pasa melade do anio,Nio,i'ii nionii,"ce
in cnipatrioa",nio sei dislan,nio fain,"niolsia en
in",nio,,,,,,,,,,,,,,,,
470,indoles,pena leslejar,nio protegesle,alohad celesle,relesaa,verdsle,N'esle,lEsle,,,,,,,,,,,,,,,,,,,,
471,othares conrencionaes,"ameaga
resonar",dislfuarear,impressionara,ionare,,,,,,,,,,,,,,,,,,,,,,,
472,"ule-
tino",Qucnlino,liinon on drccao,inrd,dmino,inor,Marino Faliero,liinon,"vi-
zino",Lininor,"Quieutino-sguro-ll
u",orino,Mainoel Qneniino,Quelino,cla lomino,Ino,,,,,,,,,,,,
473,Percebheu,se-Percehe,"Whi
iestne receheria",Cerco,Percehe,,,,,,,,,,,,,,,,,,,,,,,
474,c-,,,,,,,,,,,,,,,,,,,,,,,,,,,
